DD,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,65,62,64,70,77,81,83,81,76,68,60,52,46,44,49,59,70,81,90,95,96,92,86,78
2,69,63,64,69,76,83,88,89,86,80,73,65,56,50,50,55,63,72,82,89,92,91,87,81
3,72,65,62,67,74,82,89,93,93,89,84,77,68,60,55,56,60,67,75,83,88,89,87,82
4,75,67,62,64,71,79,87,94,96,95,91,86,78,69,62,59,61,65,71,78,84,87,86,83
5,77,69,63,62,67,75,84,92,97,98,95,91,85,76,68,64,62,65,68,74,80,84,84,83
6,78,71,64,61,63,71,80,89,96,99,98,94,89,81,73,66,63,64,67,71,76,80,82,81
7,78,72,65,60,60,65,75,85,93,99,100,97,92,85,76,69,64,63,64,68,72,76,78,78
8,76,71,64,58,56,59,67,78,88,96,100,99,95,89,81,72,66,62,62,65,69,72,74,74
9,73,69,63,57,53,53,58,68,80,90,97,99,98,94,86,78,70,64,62,62,65,69,71,71
10,69,66,61,56,51,49,50,57,67,80,90,96,98,97,92,85,77,70,65,62,63,66,68,68
11,67,64,60,55,50,46,45,47,55,66,79,88,95,98,96,91,85,78,71,66,64,65,67,67
12,66,64,61,56,50,46,42,42,45,53,64,77,86,94,97,96,91,86,79,73,69,67,67,68
13,68,66,64,60,54,49,44,40,39,43,50,62,75,85,94,97,96,92,87,81,75,71,68,68
14,69,70,70,67,63,56,50,44,39,38,41,48,60,74,86,94,98,97,93,88,82,76,71,69
15,69,72,75,76,74,68,61,53,45,40,37,40,47,60,74,86,95,98,98,94,88,81,75,71
16,68,71,77,82,84,82,76,67,57,48,41,38,39,46,60,75,87,95,99,98,93,87,80,74
17,69,68,74,83,90,93,91,85,74,63,53,44,39,39,46,60,74,86,94,98,96,92,85,78
18,71,67,69,78,89,98,102,100,92,81,70,58,47,40,39,47,59,72,84,92,95,94,89,82
19,74,67,65,70,81,93,103,108,106,99,89,76,63,51,42,40,46,57,70,81,89,91,90,86
20,78,70,64,63,70,82,95,106,112,111,104,95,82,68,55,45,42,46,55,67,77,84,86,86
21,81,73,65,61,61,68,81,95,107,112,113,108,100,87,72,59,48,43,46,54,64,72,78,81
22,80,75,67,61,57,57,65,78,92,104,111,113,111,103,90,76,63,51,45,47,53,61,68,74
23,76,74,68,62,56,52,52,60,73,87,99,108,112,111,104,92,80,66,54,47,49,54,60,66
24,70,72,69,63,57,51,47,47,55,68,81,94,104,110,109,103,93,81,68,57,51,52,55,60
25,65,69,69,65,60,54,47,42,43,51,62,76,89,100,106,106,101,92,82,69,59,55,55,57
26,62,67,70,68,65,59,52,45,40,41,48,59,72,86,96,101,102,98,91,81,70,62,58,58
27,61,66,71,72,71,67,61,53,46,41,41,47,57,70,83,92,97,98,94,88,79,70,63,60
28,61,65,71,75,77,75,71,64,57,49,44,44,49,58,71,81,89,93,94,91,85,77,69,63
29,62,65,71,77,81,82,81,76,70,62,54,49,48,53,61,72,80,87,90,90,87,81,74,67
30,63,65,70,77,83,87,88,86,82,75,67,60,54,54,59,65,73,80,86,88,87,84,78,70
31,65,64,69,75,83,89,93,93,91,86,79,71,64,59,60,63,69,75,81,85,86,84,80,74
